pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p03213,ok,24,10,10,5,5,9,10,0,5,0.0,15,0,outputs/tcases/cpp/p03213/summary.json,outputs/tcases/cpp/p03213/report.txt,outputs/tcases/cpp/p03213/detail.csv
p03235,ok,101,10,10,27,27,36,37,0,27,0.0,93,2,outputs/tcases/cpp/p03235/summary.json,outputs/tcases/cpp/p03235/report.txt,outputs/tcases/cpp/p03235/detail.csv
p03239,ok,138,10,10,4,4,131,3,4,0,1.0,3,0,outputs/tcases/cpp/p03239/summary.json,outputs/tcases/cpp/p03239/report.txt,outputs/tcases/cpp/p03239/detail.csv
p03241,ok,99,10,10,0,0,61,38,0,0,,3,0,outputs/tcases/cpp/p03241/summary.json,outputs/tcases/cpp/p03241/report.txt,outputs/tcases/cpp/p03241/detail.csv
p03253,ok,99,10,10,3,3,7,89,0,3,0.0,88,0,outputs/tcases/cpp/p03253/summary.json,outputs/tcases/cpp/p03253/report.txt,outputs/tcases/cpp/p03253/detail.csv
p03255,ok,159,10,10,4,4,0,155,0,4,0.0,159,0,outputs/tcases/cpp/p03255/summary.json,outputs/tcases/cpp/p03255/report.txt,outputs/tcases/cpp/p03255/detail.csv
p03270,ok,74,10,10,0,0,0,74,0,0,,71,0,outputs/tcases/cpp/p03270/summary.json,outputs/tcases/cpp/p03270/report.txt,outputs/tcases/cpp/p03270/detail.csv
p03272,ok,74,10,10,1,1,73,0,1,0,1.0,0,0,outputs/tcases/cpp/p03272/summary.json,outputs/tcases/cpp/p03272/report.txt,outputs/tcases/cpp/p03272/detail.csv
p03282,ok,142,10,10,0,0,0,142,0,0,,14,10,outputs/tcases/cpp/p03282/summary.json,outputs/tcases/cpp/p03282/report.txt,outputs/tcases/cpp/p03282/detail.csv
p03284,ok,85,10,10,8,8,62,14,4,4,0.5,13,1,outputs/tcases/cpp/p03284/summary.json,outputs/tcases/cpp/p03284/report.txt,outputs/tcases/cpp/p03284/detail.csv
p03285,ok,58,10,10,9,9,49,0,9,0,1.0,0,0,outputs/tcases/cpp/p03285/summary.json,outputs/tcases/cpp/p03285/report.txt,outputs/tcases/cpp/p03285/detail.csv
p03290,ok,155,10,10,0,0,0,155,0,0,,29,0,outputs/tcases/cpp/p03290/summary.json,outputs/tcases/cpp/p03290/report.txt,outputs/tcases/cpp/p03290/detail.csv
p03292,ok,122,10,10,16,16,106,0,16,0,1.0,0,0,outputs/tcases/cpp/p03292/summary.json,outputs/tcases/cpp/p03292/report.txt,outputs/tcases/cpp/p03292/detail.csv
p03296,ok,114,10,10,0,0,113,1,0,0,,0,0,outputs/tcases/cpp/p03296/summary.json,outputs/tcases/cpp/p03296/report.txt,outputs/tcases/cpp/p03296/detail.csv
p03313,ok,106,10,10,0,0,40,66,0,0,,78,0,outputs/tcases/cpp/p03313/summary.json,outputs/tcases/cpp/p03313/report.txt,outputs/tcases/cpp/p03313/detail.csv
p03314,ok,76,10,10,0,0,1,75,0,0,,66,0,outputs/tcases/cpp/p03314/summary.json,outputs/tcases/cpp/p03314/report.txt,outputs/tcases/cpp/p03314/detail.csv
p03322,ok,139,10,10,12,12,0,126,0,12,0.0,130,0,outputs/tcases/cpp/p03322/summary.json,outputs/tcases/cpp/p03322/report.txt,outputs/tcases/cpp/p03322/detail.csv
p03323,ok,70,10,10,22,22,48,0,22,0,1.0,0,0,outputs/tcases/cpp/p03323/summary.json,outputs/tcases/cpp/p03323/report.txt,outputs/tcases/cpp/p03323/detail.csv
p03326,ok,111,10,10,1,1,107,3,1,0,1.0,3,0,outputs/tcases/cpp/p03326/summary.json,outputs/tcases/cpp/p03326/report.txt,outputs/tcases/cpp/p03326/detail.csv
p03329,ok,44,10,10,0,0,13,31,0,0,,0,0,outputs/tcases/cpp/p03329/summary.json,outputs/tcases/cpp/p03329/report.txt,outputs/tcases/cpp/p03329/detail.csv
p03331,ok,85,10,10,0,0,0,85,0,0,,1,0,outputs/tcases/cpp/p03331/summary.json,outputs/tcases/cpp/p03331/report.txt,outputs/tcases/cpp/p03331/detail.csv
p03332,ok,127,10,10,14,14,32,81,0,14,0.0,63,0,outputs/tcases/cpp/p03332/summary.json,outputs/tcases/cpp/p03332/report.txt,outputs/tcases/cpp/p03332/detail.csv
p03333,ok,143,10,10,137,137,6,0,0,137,0.0,137,0,outputs/tcases/cpp/p03333/summary.json,outputs/tcases/cpp/p03333/report.txt,outputs/tcases/cpp/p03333/detail.csv
p03336,ok,175,10,10,3,3,0,172,0,3,0.0,111,0,outputs/tcases/cpp/p03336/summary.json,outputs/tcases/cpp/p03336/report.txt,outputs/tcases/cpp/p03336/detail.csv
p03338,ok,70,10,10,0,0,70,0,0,0,,0,0,outputs/tcases/cpp/p03338/summary.json,outputs/tcases/cpp/p03338/report.txt,outputs/tcases/cpp/p03338/detail.csv
p03343,ok,144,10,10,0,0,0,144,0,0,,87,0,outputs/tcases/cpp/p03343/summary.json,outputs/tcases/cpp/p03343/report.txt,outputs/tcases/cpp/p03343/detail.csv
p03344,ok,142,10,10,0,0,0,142,0,0,,137,0,outputs/tcases/cpp/p03344/summary.json,outputs/tcases/cpp/p03344/report.txt,outputs/tcases/cpp/p03344/detail.csv
p03348,ok,113,10,10,0,0,0,113,0,0,,99,0,outputs/tcases/cpp/p03348/summary.json,outputs/tcases/cpp/p03348/report.txt,outputs/tcases/cpp/p03348/detail.csv
